,Unnamed: 0,loss,accuracy,val_loss,val_accuracy
0,0,1.0352096557617188,0.6689938902854919,1.3532743453979492,0.6683467626571655
1,1,0.9201818108558656,0.692931056022644,1.0708386898040771,0.6935483813285828
2,2,0.8515465259552002,0.7085151672363281,1.1668052673339844,0.680443525314331
3,3,0.8029252886772156,0.7229771614074707,1.0523271560668943,0.663306474685669
4,4,0.7573567628860474,0.7434235215187073,1.0185234546661377,0.6754032373428345
5,5,0.6950321197509766,0.7622491121292114,0.9798110723495485,0.6733871102333069
6,6,0.6372875571250916,0.7805759906768799,1.0104907751083374,0.6612903475761414
7,7,0.5725825428962708,0.7975314855575562,1.0398885011672974,0.6451612710952759
8,8,0.5063961744308472,0.8234633803367615,1.0205742120742798,0.6693548560142517
9,9,0.442996472120285,0.845904529094696,1.1295605897903442,0.6653226017951965
10,10,0.3903120756149292,0.8627353310585022,1.2073945999145508,0.7076612710952759
11,11,0.3318122327327728,0.8840543627738953,1.256834626197815,0.6260080933570862
12,12,0.2742543518543243,0.9062461256980896,1.4477356672286987,0.5776209831237793
13,13,0.2514796257019043,0.9092382788658142,1.5166388750076294,0.6401209831237793
14,14,0.2073611319065094,0.9281885027885436,1.5192794799804688,0.6129032373428345
