,loss,accuracy,val_loss,val_accuracy
0,1.0559532642364502,0.6693664789199829,0.9781644940376282,0.6696606874465942
1,0.905219554901123,0.6786863207817078,0.912908136844635,0.6796407103538513
2,0.8598769307136536,0.6831243634223938,0.9362819194793701,0.6546906232833862
3,0.8379768133163452,0.6910018920898438,0.8831356763839722,0.6836327314376831
4,0.8099659085273743,0.7014312744140625,0.8426818251609802,0.6916167736053467
5,0.7919729948043823,0.7062021493911743,0.8446049094200134,0.6926147937774658
6,0.7630404233932495,0.712193489074707,0.8134192824363708,0.6956087946891785
7,0.7427220940589905,0.7243980765342712,0.7926955223083496,0.7195608615875244
8,0.7147344946861267,0.7322756052017212,0.767539918422699,0.7165668606758118
9,0.7028409838676453,0.7362698316574097,0.7940642237663269,0.6776447296142578
10,0.6876977682113647,0.7428159117698669,0.7453755736351013,0.7215569019317627
11,0.6707584261894226,0.7459225654602051,0.7783538699150085,0.7155688405036926
12,0.6628981232643127,0.7533562779426575,0.7396668195724487,0.7215569019317627
13,0.6460357904434204,0.7614556550979614,0.7695639133453369,0.7205588817596436
14,0.6333706378936768,0.7647842168807983,0.7513554096221924,0.7335329055786133
